Subject_Objective_11,Face_to_Face,Subject_or_Unit_22,Offline,Duration_Time,Subject_Description_1,Subject_or_Unit_17,Subject_or_Unit_38,Description,Subject_Description_25,Subject_Objective_21,Subject_Description_24,Subject_or_Unit_21,Subject_Objective_39,Country,Subject_Description_6,Subject_or_Unit_8,Currency_Time,Subject_Objective_22,Subject_Objective_35,Prerequisite_2,Subject_Objective_10,Subject_or_Unit_4,Int_Fees,Subject_Objective_23,Subject_Objective_34,Course,Subject_Description_3,Subject_or_Unit_15,Subject_Description_15,Subject_Objective_9,Subject_Description_11,Availability,Subject_Description_16,Subject_or_Unit_14,Subject_Description_13,Subject_Objective_18,Subject_Description_33,Subject_Description_14,Subject_or_Unit_27,Subject_Description_35,Subject_Objective_15,Subject_Objective_38,Subject_or_Unit_40,Subject_Objective_19,Prerequisite_3,Subject_Objective_36,Subject_or_Unit_7,Subject_Description_31,Subject_or_Unit_32,Full_Time,Subject_or_Unit_18,Subject_or_Unit_3,Subject_Objective_31,Subject_or_Unit_33,Subject_or_Unit_35,Subject_Description_19,Subject_or_Unit_2,Subject_Description_29,Prerequisite_3_grade,Subject_Objective_25,Subject_Description_37,Subject_or_Unit_10,Subject_or_Unit_19,Subject_Objective_27,City,Subject_Objective_12,Subject_or_Unit_20,Subject_Objective_7,Subject_Objective_8,Subject_Description_20,Subject_Objective_17,Subject_or_Unit_29,Subject_Objective_4,Subject_Objective_37,Subject_or_Unit_30,Career_Outcomes,Subject_Description_9,Subject_Description_30,Prerequisite_1,Subject_Description_21,Website,Subject_Description_27,Distance,Subject_or_Unit_13,Local_Fees,Subject_Description_39,Prerequisite_2_grade,Subject_or_Unit_31,Subject_Description_40,Subject_or_Unit_16,Subject_Objective_24,Subject_or_Unit_26,Subject_Objective_6,Subject_Objective_26,Subject_Objective_13,Subject_Description_36,Blended,Subject_Objective_2,Subject_Description_26,Subject_or_Unit_34,Subject_Description_23,Part_Time,Subject_Description_17,Faculty,Subject_Description_38,Subject_or_Unit_9,Subject_Objective_28,Subject_Objective_20,Subject_Objective_14,Subject_or_Unit_28,Subject_Description_2,Subject_Description_7,Online,Subject_Description_8,Subject_or_Unit_37,Subject_or_Unit_11,Level_Code,Subject_Objective_33,Remarks,Subject_or_Unit_5,Subject_or_Unit_36,Currency,Subject_Objective_5,Subject_Objective_3,Course_Lang,Subject_Description_5,Subject_Objective_40,Duration,Subject_Description_28,Subject_or_Unit_39,University,Subject_or_Unit_6,Subject_or_Unit_24,Subject_Objective_30,Subject_Description_4,Prerequisite_1_grade,Subject_or_Unit_23,Subject_Objective_29,Subject_Description_18,Subject_Objective_16,Subject_or_Unit_25,Subject_Objective_32,Subject_or_Unit_12,Subject_Description_12,Subject_Description_32,Subject_Description_10,Subject_Description_34,Subject_Description_22
,no,,no,Year,,,,The aim of the Graduate Diploma of Occupational Health and Safety (OHS) is to prepare you to work in industry and community services in advanced aspects of occupational health and safety.,,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Occupational Health and Safety - CC77,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Online,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-occupational-health-and-safety&auth=Qwf%2BIGYzHPU1CnPt13XFbQ&profile=_default&rank=38&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,English,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,no,,no,Year,,,,"The Graduate Diploma of Paramedic Science (Critical Care) is an innovative and practical course that aims to ensure that you can provide essential services in critical care paramedic practice, including aeromedical, retrieval and tactical environments.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Paramedic Science (Critical Care) - CC70,,,,,,D,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Online,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-paramedic-science-critical-care&auth=DVwF2nHWzAo8Sa6GPbfqNg&profile=_default&rank=39&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Computer Science & Information Technology,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,no,,no,Year,,,,"Learn how to design, deliver and evaluate positive change interventions and programs suitable for individuals groups, organisations and communities. The Graduate Diploma of Positive Psychology will allow you to work with children, teenagers and adults across a range of local and international contexts, with a focus on enhancing wellbeing, capacities, resilience and strengths.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Positive Psychology - CL19,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Online,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-positive-psychology&auth=TloY55Hr2%2FDMtd5AlNwURQ&profile=_default&rank=40&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Computer Science & Information Technology,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Professional Accounting equips you with foundational professional skills suitable for a career in accounting. On completion of this award, you can articulate to the Master of Professional Accounting which is accredited by the professional accounting bodies in Australia. You will receive full credit for the units completed in the Graduate Diploma of Professional Accounting.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Professional Accounting - CC35,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Online,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-professional-accounting&auth=G2QYG5sUXo9jLASYLJmQKg&profile=_default&rank=41&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Engineering,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Professional Accounting equips you with foundational professional skills suitable for a career in accounting. On completion of this award, you can articulate to the Master of Professional Accounting which is accredited by the professional accounting bodies in Australia. You will receive full credit for the units completed in the Graduate Diploma of Professional Accounting.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Professional Accounting - CC35,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Brisbane,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-professional-accounting&auth=G2QYG5sUXo9jLASYLJmQKg&profile=_default&rank=41&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Engineering,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Professional Accounting equips you with foundational professional skills suitable for a career in accounting. On completion of this award, you can articulate to the Master of Professional Accounting which is accredited by the professional accounting bodies in Australia. You will receive full credit for the units completed in the Graduate Diploma of Professional Accounting.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Professional Accounting - CC35,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Sydney,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-professional-accounting&auth=G2QYG5sUXo9jLASYLJmQKg&profile=_default&rank=41&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Engineering,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Professional Accounting equips you with foundational professional skills suitable for a career in accounting. On completion of this award, you can articulate to the Master of Professional Accounting which is accredited by the professional accounting bodies in Australia. You will receive full credit for the units completed in the Graduate Diploma of Professional Accounting.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Professional Accounting - CC35,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Melbourne,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-professional-accounting&auth=G2QYG5sUXo9jLASYLJmQKg&profile=_default&rank=41&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Engineering,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Project Management will provide you with an opportunity to extend your understanding of project management, by establishing a knowledge base of theoretical principles as well as the practical application of project management.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Project Management - CV81,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Online,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-project-management&auth=%2B25e0fsyyr20xyI50QXb9w&profile=_default&rank=42&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Business & Commerce & Finance & Accounting,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Project Management will provide you with an opportunity to extend your understanding of project management, by establishing a knowledge base of theoretical principles as well as the practical application of project management.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Project Management - CV81,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Brisbane,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-project-management&auth=%2B25e0fsyyr20xyI50QXb9w&profile=_default&rank=42&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Business & Commerce & Finance & Accounting,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
,yes,,yes,Year,,,,"The Graduate Diploma of Project Management will provide you with an opportunity to extend your understanding of project management, by establishing a knowledge base of theoretical principles as well as the practical application of project management.",,,,,,Australia,,,year,,,,,,Not available for 2021,,,Graduate Diploma of Project Management - CV81,,,,,,A,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Sydney,,,,,,,,,,,,,,IELTS,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-project-management&auth=%2B25e0fsyyr20xyI50QXb9w&profile=_default&rank=42&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,,no,,,,,,,,,,,,,,no,,,,,yes,,Business & Commerce & Finance & Accounting,,,,,,,,,yes,,,,PG,,[],,,AUD,,,English,,,1,,,CQ University,,,,,6.5,,,,,,,,,,,,
